id,pilot,planet,passenger,trip_completed,trip_requested,trip_started,trip_ended,price,pilot_rating,passenger_rating
53,14,2,178,1,1513284513.0,1513285001.0,1513287093.0,827.0,4.0,5.0
54,58,3,930,1,1510638023.0,1510638213.0,1510640613.0,919.0,5.0,5.0
56,4,3,557,1,1510427705.0,1510427794.0,1510428939.0,646.0,5.0,5.0
57,22,5,508,1,1505585300.0,1505585988.0,1505588669.0,1245.0,5.0,3.0
58,22,5,725,1,1496089438.0,1496090168.0,1496093141.0,1091.0,3.0,5.0
59,72,3,453,1,1512102991.0,1512103333.0,1512104542.0,562.0,5.0,5.0
60,43,1,418,1,1503860267.0,1503860457.0,1503860944.0,389.0,5.0,4.0
61,78,2,439,1,1506994352.0,1506994929.0,1506997493.0,969.0,5.0,5.0
62,51,4,929,1,1502173740.0,1502174255.0,1502175214.0,487.0,4.0,5.0
63,58,3,581,1,1509417487.0,1509417952.0,1509419302.0,604.0,5.0,5.0
64,6,3,434,1,1513172393.0,1513172728.0,1513175492.0,1277.0,4.0,5.0
65,71,3,835,0,1510902811.0,1510903406.0,1510905092.0,705.0,5.0,5.0
66,69,3,542,1,1512390486.0,1512391062.0,1512392029.0,577.0,2.0,5.0
67,60,1,694,1,1505849668.0,1505850007.0,1505852615.0,1217.0,5.0,5.0
68,25,3,542,1,1513451984.0,1513452248.0,1513454914.0,1239.0,4.0,5.0
69,71,3,728,1,1510515935.0,1510516388.0,1510517207.0,519.0,5.0,4.0
70,15,5,552,1,1514318732.0,1514319141.0,1514320566.0,627.0,5.0,1.0
71,74,4,751,1,1506708944.0,1506709415.0,1506710967.0,805.0,5.0,5.0
72,7,5,226,1,1504391590.0,1504392365.0,1504393691.0,597.0,5.0,5.0
73,13,5,611,1,1508171800.0,1508172685.0,1508174298.0,829.0,5.0,2.0
75,5,3,455,1,1510064612.0,1510064917.0,1510066595.0,854.0,5.0,5.0
76,4,3,277,1,1514334674.0,1514334774.0,1514336286.0,653.0,5.0,5.0
77,96,3,631,1,1513863247.0,1513863400.0,1513866985.0,1598.0,5.0,4.0
78,70,4,596,1,1492661577.0,1492662151.0,1492662568.0,325.0,5.0,5.0
79,22,5,861,1,1503005980.0,1503006574.0,1503008248.0,702.0,5.0,2.0
80,55,5,689,1,1508926539.0,1508926900.0,1508930460.0,1588.0,5.0,5.0
81,56,3,291,1,1514058003.0,1514058841.0,1514059463.0,442.0,5.0,5.0
82,78,2,442,1,1510707391.0,1510707859.0,1510708722.0,458.0,5.0,1.0
83,47,6,449,1,1511750510.0,1511750992.0,1511753248.0,876.0,5.0,2.0
84,54,6,843,1,1509820007.0,1509820830.0,1509823690.0,1315.0,5.0,5.0
85,6,3,294,1,1514418154.0,1514418822.0,1514420656.0,750.0,3.0,5.0
86,7,5,461,1,1500990936.0,1500991188.0,1500994180.0,1366.0,5.0,5.0
87,43,1,694,1,1498592206.0,1498592395.0,1498595664.0,1474.0,5.0,4.0
88,76,3,820,1,1505217278.0,1505217815.0,1505219292.0,776.0,4.0,2.0
90,70,4,237,1,1495111111.0,1495111428.0,1495114997.0,1591.0,5.0,1.0
91,8,3,483,1,1514095440.0,1514095898.0,1514098881.0,1094.0,5.0,5.0
92,22,5,343,1,1502779148.0,1502779472.0,1502779990.0,355.0,5.0,1.0
93,58,3,745,1,1511029488.0,1511029868.0,1511030334.0,381.0,5.0,5.0
94,85,3,560,1,1514013369.0,1514014058.0,1514015676.0,685.0,5.0,5.0
95,4,3,68,1,1506392583.0,1506392966.0,1506395024.0,817.0,5.0,5.0
96,70,4,393,1,1512342421.0,1512342758.0,1512345976.0,1165.0,4.0,4.0
97,95,5,40,1,1514382728.0,1514383312.0,1514384040.0,483.0,5.0,5.0
98,57,3,712,1,1512785673.0,1512786350.0,1512789328.0,1093.0,5.0,5.0
99,35,2,962,1,1514396184.0,1514396277.0,1514397924.0,1089.0,5.0,5.0
100,29,3,592,1,1497258751.0,1497259649.0,1497262410.0,1690.0,5.0,5.0
101,14,2,655,1,1511603101.0,1511603433.0,1511605637.0,1390.0,5.0,5.0
102,14,2,433,1,1514003430.0,1514003813.0,1514005226.0,623.0,5.0,5.0
103,46,3,304,1,1510941114.0,1510941950.0,1510943505.0,1039.0,5.0,5.0
104,55,5,12,1,1510795473.0,1510795774.0,1510798698.0,1077.0,5.0,5.0
105,76,3,798,1,1501397716.0,1501397908.0,1501400887.0,1093.0,5.0,5.0
106,93,3,22,1,1506032113.0,1506032581.0,1506035352.0,1031.0,2.0,5.0
107,93,3,759,1,1508466724.0,1508467041.0,1508469464.0,926.0,5.0,5.0
108,22,5,561,1,1502261783.0,1502262212.0,1502265269.0,1117.0,4.0,2.0
109,55,5,177,1,1510410467.0,1510411141.0,1510412878.0,877.0,5.0,5.0
110,14,2,678,1,1506410317.0,1506411072.0,1506414632.0,1267.0,5.0,5.0
111,70,4,382,1,1510966681.0,1510967541.0,1510968893.0,605.0,5.0,5.0
112,43,1,694,1,1509319395.0,1509319565.0,1509321071.0,651.0,1.0,3.0
113,95,5,877,1,1514277513.0,1514277589.0,1514278982.0,743.0,5.0,5.0
114,51,4,414,1,1501637490.0,1501638263.0,1501639806.0,662.0,1.0,3.0
115,13,5,537,1,1503152273.0,1503152781.0,1503154702.0,949.0,5.0,5.0
116,25,3,910,1,1513762478.0,1513762836.0,1513764199.0,936.0,5.0,5.0
117,69,3,557,1,1511421717.0,1511422250.0,1511425184.0,1080.0,5.0,3.0
118,42,3,30,1,1509422446.0,1509422647.0,1509423163.0,354.0,5.0,1.0
119,51,4,564,1,1514360025.0,1514360317.0,1514362492.0,852.0,5.0,5.0
122,74,4,135,1,1508540282.0,1508540806.0,1508543329.0,956.0,5.0,4.0
123,38,2,215,1,1513042179.0,1513042260.0,1513044525.0,879.0,5.0,1.0
124,85,3,622,1,1514399468.0,1514400141.0,1514402531.0,1132.0,5.0,5.0
125,58,3,286,1,1513242098.0,1513242431.0,1513244035.0,1066.0,5.0,5.0
126,15,5,539,1,1514260373.0,1514260474.0,1514261106.0,389.0,4.0,5.0
127,74,4,797,1,1513881487.0,1513882172.0,1513884107.0,954.0,5.0,5.0
128,8,3,658,1,1507714588.0,1507714786.0,1507715522.0,597.0,5.0,5.0
129,60,1,317,1,1513184025.0,1513184411.0,1513187840.0,1537.0,5.0,5.0
130,43,1,687,1,1506210624.0,1506211004.0,1506213294.0,886.0,1.0,5.0
131,70,4,556,1,1507000932.0,1507001213.0,1507004091.0,1063.0,5.0,5.0
132,95,5,21,1,1514265739.0,1514266635.0,1514267438.0,440.0,5.0,5.0
134,22,5,98,1,1509837233.0,1509837700.0,1509840659.0,1087.0,5.0,2.0
135,60,1,511,1,1510593765.0,1510594294.0,1510597399.0,1876.0,5.0,5.0
136,78,2,43,1,1513017536.0,1513018012.0,1513019851.0,917.0,5.0,5.0
137,58,3,151,1,1514234472.0,1514235049.0,1514235689.0,391.0,2.0,5.0
138,4,3,103,1,1510199823.0,1510200626.0,1510201684.0,517.0,5.0,5.0
139,4,3,541,1,1513499860.0,1513499975.0,1513501946.0,968.0,3.0,5.0
140,85,3,282,1,1512585393.0,1512585725.0,1512587054.0,718.0,5.0,1.0
141,57,3,901,1,1503019075.0,1503019786.0,1503022956.0,1150.0,5.0,2.0
142,69,3,541,1,1510750499.0,1510751173.0,1510751611.0,370.0,5.0,5.0
143,46,3,347,1,1510449180.0,1510450041.0,1510452509.0,940.0,5.0,4.0
144,47,6,750,1,1512298215.0,1512298749.0,1512301583.0,1305.0,5.0,5.0
145,78,2,997,1,1511521964.0,1511522687.0,1511522989.0,317.0,5.0,5.0
146,78,2,321,1,1514167743.0,1514168088.0,1514168931.0,452.0,4.0,5.0
147,22,5,222,1,1509260104.0,1509260689.0,1509263509.0,1045.0,5.0,4.0
148,4,3,483,1,1513177112.0,1513177694.0,1513179821.0,1029.0,1.0,5.0
149,51,4,736,0,1511712132.0,1511712288.0,1511715340.0,1390.0,5.0,5.0
150,14,2,758,1,1503675168.0,1503675542.0,1503677878.0,1111.0,5.0,5.0
151,65,5,761,1,1511678056.0,1511678119.0,1511680662.0,962.0,5.0,5.0
152,58,3,529,1,1511928126.0,1511928622.0,1511930359.0,721.0,5.0,3.0
153,5,3,703,1,1512801741.0,1512801997.0,1512803438.0,632.0,5.0,2.0
154,70,4,564,1,1508120899.0,1508121705.0,1508123175.0,640.0,4.0,5.0
155,1,2,976,0,1514313768.0,1514314475.0,1514315269.0,509.0,3.0,4.0
156,29,3,357,1,1493622567.0,1493623399.0,1493626003.0,981.0,5.0,5.0
157,2,5,461,1,1502259110.0,1502259871.0,1502263064.0,1157.0,4.0,5.0
158,56,3,83,1,1514358988.0,1514359255.0,1514361762.0,952.0,5.0,1.0
159,7,5,152,1,1513423494.0,1513424132.0,1513426170.0,994.0,5.0,5.0
160,11,3,121,1,1512191358.0,1512191621.0,1512194024.0,920.0,5.0,5.0
161,55,5,601,1,1512720107.0,1512720733.0,1512721444.0,477.0,5.0,2.0
162,22,5,902,1,1507986165.0,1507986878.0,1507987551.0,462.0,5.0,2.0
163,13,5,14,1,1513991383.0,1513992152.0,1513993298.0,543.0,5.0,4.0
164,57,3,856,1,1503176175.0,1503176326.0,1503176670.0,303.0,5.0,3.0
165,2,5,300,1,1502388099.0,1502388816.0,1502390713.0,939.0,4.0,5.0
166,71,3,438,1,1509603000.0,1509603260.0,1509605803.0,962.0,5.0,5.0
167,60,1,85,1,1512968645.0,1512969227.0,1512969990.0,428.0,5.0,5.0
168,22,5,84,0,1506589655.0,1506590115.0,1506590907.0,627.0,5.0,5.0
169,38,2,101,1,1513520428.0,1513520576.0,1513523865.0,1482.0,5.0,1.0
170,42,3,527,1,1513447828.0,1513448094.0,1513450548.0,1157.0,3.0,5.0
171,60,1,306,1,1513641046.0,1513641255.0,1513644022.0,1030.0,5.0,5.0
172,51,4,795,1,1507031636.0,1507032497.0,1507034086.0,819.0,5.0,3.0
173,74,4,414,1,1513018947.0,1513019234.0,1513021200.0,966.0,5.0,5.0
175,72,3,296,1,1510137180.0,1510137259.0,1510140251.0,1366.0,5.0,5.0
176,51,4,736,1,1507915009.0,1507915880.0,1507918632.0,1686.0,1.0,5.0
177,35,2,746,1,1513060282.0,1513060726.0,1513061455.0,418.0,5.0,5.0
178,22,5,566,1,1498417508.0,1498418390.0,1498420304.0,946.0,5.0,5.0
179,7,5,602,1,1503150833.0,1503151670.0,1503154549.0,1322.0,5.0,2.0
180,96,3,809,1,1506909036.0,1506909643.0,1506912767.0,1137.0,5.0,5.0
181,96,3,117,1,1514751522.0,1514752348.0,1514755276.0,1078.0,5.0,5.0
182,57,3,970,0,1510650248.0,1510650972.0,1510654549.0,2131.0,5.0,5.0
183,8,3,793,1,1509875315.0,1509875982.0,1509876339.0,392.0,3.0,2.0
184,72,3,369,1,1513051768.0,1513052478.0,1513053637.0,547.0,4.0,5.0
185,55,5,107,1,1509271883.0,1509272411.0,1509274620.0,1061.0,5.0,5.0
186,70,4,610,1,1511683629.0,1511683993.0,1511685400.0,748.0,5.0,3.0
187,43,1,520,1,1513573100.0,1513573977.0,1513575023.0,513.0,5.0,1.0
188,12,6,61,1,1513273557.0,1513273759.0,1513274959.0,847.0,5.0,5.0
189,93,3,304,1,1494636592.0,1494637372.0,1494640274.0,1070.0,3.0,5.0
190,2,5,833,1,1511898593.0,1511898894.0,1511900018.0,638.0,5.0,5.0
191,85,3,555,1,1512136077.0,1512136463.0,1512137653.0,664.0,1.0,5.0
192,47,6,532,1,1514579231.0,1514579656.0,1514581952.0,888.0,5.0,1.0
193,58,3,954,1,1508642663.0,1508643391.0,1508646926.0,1260.0,5.0,5.0
194,69,3,167,0,1514668481.0,1514668589.0,1514671949.0,1207.0,5.0,5.0
195,4,3,894,1,1494931847.0,1494932160.0,1494933249.0,624.0,5.0,5.0
196,4,3,458,1,1514743274.0,1514743457.0,1514744340.0,544.0,5.0,5.0
197,69,3,970,1,1499468488.0,1499468554.0,1499471153.0,979.0,3.0,3.0
199,76,3,459,1,1507021409.0,1507021605.0,1507022405.0,631.0,5.0,5.0
200,54,6,933,1,1502239045.0,1502239105.0,1502239725.0,385.0,5.0,5.0
201,56,3,679,1,1514429126.0,1514429773.0,1514432971.0,1159.0,3.0,1.0
203,29,3,791,1,1495408585.0,1495408790.0,1495412388.0,1279.0,5.0,5.0
204,11,3,895,1,1505457517.0,1505458101.0,1505459986.0,765.0,5.0,2.0
205,14,2,875,1,1510352593.0,1510353354.0,1510356459.0,1131.0,5.0,5.0
206,58,3,175,0,1512535058.0,1512535777.0,1512536424.0,394.0,3.0,5.0
207,78,2,481,1,1507697045.0,1507697545.0,1507699833.0,886.0,5.0,1.0
208,78,2,367,1,1499059173.0,1499059500.0,1499061276.0,732.0,5.0,5.0
209,71,3,966,1,1513508075.0,1513508138.0,1513510440.0,1097.0,4.0,5.0
210,85,3,526,1,1513618414.0,1513618876.0,1513619401.0,483.0,5.0,5.0
211,8,3,569,1,1512445084.0,1512445492.0,1512446576.0,525.0,4.0,1.0
212,25,3,128,1,1501085085.0,1501085311.0,1501088354.0,1386.0,1.0,5.0
213,7,5,951,1,1501675851.0,1501676730.0,1501677318.0,429.0,5.0,5.0
214,25,3,538,1,1507214552.0,1507215379.0,1507216957.0,815.0,5.0,3.0
215,4,3,355,1,1509109818.0,1509110651.0,1509112220.0,811.0,5.0,4.0
216,29,3,224,1,1505179778.0,1505180252.0,1505183358.0,1131.0,1.0,2.0
217,2,5,130,1,1512308004.0,1512308689.0,1512309950.0,691.0,5.0,5.0
218,65,5,748,1,1505915407.0,1505916258.0,1505918013.0,884.0,5.0,5.0
219,35,2,146,1,1511457179.0,1511457539.0,1511458127.0,517.0,4.0,5.0
220,42,3,352,1,1507038859.0,1507039384.0,1507040040.0,455.0,5.0,5.0
221,4,3,93,1,1509869663.0,1509869997.0,1509871358.0,730.0,5.0,4.0
222,46,3,93,1,1507410393.0,1507410760.0,1507412153.0,617.0,5.0,5.0
223,70,4,430,1,1511718636.0,1511719079.0,1511722593.0,2097.0,5.0,4.0
224,29,3,468,1,1513144284.0,1513144966.0,1513148326.0,1207.0,5.0,5.0
225,58,3,783,1,1510642515.0,1510642578.0,1510645829.0,1175.0,5.0,5.0
226,74,4,25,1,1512766960.0,1512767277.0,1512769297.0,805.0,4.0,4.0
227,35,2,996,1,1514598477.0,1514599044.0,1514601176.0,839.0,5.0,5.0
228,56,3,557,1,1514384596.0,1514384950.0,1514386067.0,635.0,2.0,5.0
229,51,4,200,1,1514347058.0,1514347722.0,1514350382.0,997.0,5.0,5.0
230,6,3,165,1,1510930178.0,1510930637.0,1510933739.0,1409.0,5.0,5.0
231,7,5,509,1,1509555782.0,1509556494.0,1509558966.0,1534.0,5.0,5.0
232,51,4,250,1,1509798894.0,1509799335.0,1509800706.0,734.0,5.0,4.0
233,93,3,763,0,1502890768.0,1502891468.0,1502894021.0,1195.0,5.0,5.0
234,35,2,782,1,1510532780.0,1510532844.0,1510535382.0,961.0,4.0,5.0
235,35,2,189,1,1512675695.0,1512676179.0,1512679200.0,1378.0,5.0,2.0
236,29,3,170,1,1494745398.0,1494746049.0,1494749412.0,1208.0,5.0,5.0
237,13,5,217,1,1513275421.0,1513275521.0,1513277457.0,955.0,5.0,5.0
238,35,2,855,1,1514645004.0,1514645896.0,1514649097.0,1448.0,5.0,5.0
239,7,5,267,1,1513350138.0,1513350670.0,1513351873.0,669.0,5.0,4.0
240,70,4,914,1,1505935443.0,1505935646.0,1505937370.0,872.0,5.0,4.0
241,85,3,930,1,1514144346.0,1514145067.0,1514148593.0,1575.0,1.0,1.0
242,74,4,373,1,1511495049.0,1511495853.0,1511496748.0,468.0,5.0,5.0
243,14,2,591,0,1501113703.0,1501114416.0,1501116504.0,826.0,5.0,5.0
244,8,3,483,1,1503145533.0,1503145665.0,1503146144.0,386.0,5.0,5.0
245,1,2,196,1,1514157136.0,1514157335.0,1514160696.0,1208.0,5.0,5.0
246,74,4,29,1,1512310928.0,1512311127.0,1512313998.0,1319.0,5.0,5.0
247,69,3,555,1,1510115295.0,1510115824.0,1510118083.0,877.0,5.0,5.0
249,6,3,581,1,1512808596.0,1512809231.0,1512811948.0,1259.0,5.0,5.0
250,72,3,796,0,1510315973.0,1510316408.0,1510317537.0,640.0,5.0,4.0
251,22,5,92,1,1513751825.0,1513752161.0,1513755677.0,1254.0,5.0,5.0
252,1,2,890,1,1514435465.0,1514435939.0,1514436684.0,423.0,3.0,3.0
253,5,3,369,1,1513977270.0,1513977521.0,1513979578.0,817.0,5.0,5.0
254,38,2,326,1,1514270232.0,1514270626.0,1514272131.0,651.0,5.0,5.0
255,60,1,306,1,1511918437.0,1511918645.0,1511921052.0,922.0,5.0,5.0
256,29,3,243,1,1502483115.0,1502483256.0,1502485503.0,874.0,5.0,3.0
257,85,3,533,1,1502173284.0,1502173729.0,1502176867.0,1141.0,1.0,5.0
258,4,3,93,1,1507447777.0,1507448064.0,1507451328.0,1179.0,5.0,5.0
259,8,3,378,1,1509565974.0,1509566225.0,1509568714.0,1170.0,5.0,4.0
260,78,2,173,1,1512665567.0,1512666359.0,1512669756.0,1524.0,5.0,5.0
261,78,2,374,1,1510877196.0,1510877363.0,1510877852.0,346.0,5.0,5.0
262,29,3,607,1,1504955600.0,1504955792.0,1504956750.0,573.0,5.0,5.0
263,74,4,920,1,1508584494.0,1508585037.0,1508587863.0,1302.0,5.0,5.0
264,47,6,384,1,1512307115.0,1512307587.0,1512311018.0,1538.0,5.0,3.0
265,74,4,212,1,1508325262.0,1508325965.0,1508327105.0,644.0,5.0,5.0
266,15,5,217,1,1511773027.0,1511773708.0,1511776504.0,1290.0,4.0,5.0
267,71,3,528,1,1513936023.0,1513936672.0,1513938527.0,1201.0,5.0,5.0
269,6,3,310,1,1506869684.0,1506869935.0,1506871412.0,776.0,5.0,5.0
270,8,3,151,1,1512816755.0,1512817474.0,1512819389.0,946.0,5.0,5.0
271,46,3,663,1,1514310173.0,1514310353.0,1514313669.0,1990.0,5.0,5.0
272,55,5,760,1,1511750359.0,1511750789.0,1511752892.0,830.0,5.0,5.0
273,42,3,73,1,1513014279.0,1513014699.0,1513015232.0,487.0,5.0,5.0
274,12,6,253,1,1512122056.0,1512122289.0,1512124935.0,1628.0,5.0,5.0
275,7,5,833,1,1513474257.0,1513474517.0,1513475115.0,379.0,5.0,5.0
276,1,2,896,1,1514520069.0,1514520886.0,1514523365.0,943.0,5.0,1.0
277,15,5,487,1,1512982837.0,1512982904.0,1512985588.0,1649.0,3.0,5.0
278,1,2,669,1,1514530057.0,1514530208.0,1514530832.0,387.0,5.0,5.0
279,5,3,286,1,1514689647.0,1514690513.0,1514693255.0,1022.0,5.0,2.0
280,15,5,654,1,1513043281.0,1513043472.0,1513043948.0,342.0,5.0,5.0
281,78,2,873,1,1513318875.0,1513318955.0,1513319661.0,411.0,5.0,5.0
282,5,3,515,1,1510848491.0,1510848788.0,1510852276.0,1560.0,5.0,5.0
283,85,3,70,1,1496537543.0,1496538382.0,1496540999.0,985.0,5.0,5.0
284,29,3,83,1,1514474490.0,1514475333.0,1514477007.0,852.0,5.0,5.0
285,14,2,546,1,1506889040.0,1506889421.0,1506892982.0,1268.0,4.0,5.0
286,29,3,741,1,1514622901.0,1514623441.0,1514625916.0,1165.0,5.0,4.0
287,70,4,721,1,1514704919.0,1514705456.0,1514708767.0,1193.0,5.0,5.0
290,38,2,788,1,1513926330.0,1513926531.0,1513928856.0,897.0,5.0,5.0
291,4,3,759,1,1500706535.0,1500706622.0,1500709603.0,1094.0,5.0,2.0
292,72,3,791,1,1514050909.0,1514051587.0,1514053144.0,1040.0,2.0,5.0
293,25,3,458,1,1514716855.0,1514717414.0,1514718646.0,680.0,5.0,5.0
294,8,3,827,1,1514650421.0,1514650721.0,1514654155.0,1539.0,5.0,5.0
295,2,5,426,1,1505782460.0,1505782628.0,1505784981.0,905.0,5.0,2.0
296,35,2,873,0,1512135894.0,1512136765.0,1512137830.0,615.0,4.0,5.0
297,22,5,960,1,1501841551.0,1501842117.0,1501843090.0,579.0,5.0,5.0
298,6,3,917,1,1504967878.0,1504968290.0,1504970992.0,1253.0,5.0,5.0
299,6,3,999,1,1507084520.0,1507084582.0,1507085851.0,580.0,5.0,2.0
300,43,1,408,1,1512992470.0,1512992791.0,1512994622.0,914.0,4.0,4.0
301,14,2,988,1,1509566070.0,1509566445.0,1509568440.0,978.0,2.0,5.0
303,22,5,570,1,1509944693.0,1509945458.0,1509946382.0,477.0,5.0,5.0
304,58,3,730,1,1510726186.0,1510726348.0,1510727523.0,552.0,2.0,5.0
305,1,2,536,1,1513956514.0,1513956859.0,1513957441.0,426.0,5.0,5.0
306,58,3,284,1,1510742333.0,1510743057.0,1510744017.0,574.0,5.0,5.0
307,12,6,945,1,1513779087.0,1513779419.0,1513780895.0,775.0,5.0,4.0
308,47,6,523,1,1511857475.0,1511858349.0,1511859148.0,511.0,5.0,2.0
309,54,6,76,1,1507690949.0,1507691769.0,1507695277.0,1252.0,4.0,5.0
310,55,5,941,1,1512884701.0,1512884915.0,1512886448.0,659.0,5.0,5.0
311,85,3,599,1,1491389027.0,1491389210.0,1491390043.0,524.0,5.0,2.0
312,2,5,611,1,1505167836.0,1505168220.0,1505169914.0,708.0,5.0,5.0
313,47,6,320,1,1512304065.0,1512304884.0,1512305376.0,391.0,1.0,5.0
314,69,3,572,1,1508703705.0,1508704408.0,1508706735.0,898.0,5.0,5.0
315,96,3,181,1,1505629878.0,1505630156.0,1505631157.0,500.0,2.0,5.0
316,58,3,471,1,1512998858.0,1512999559.0,1513002785.0,1458.0,5.0,5.0
317,74,4,929,1,1506110362.0,1506111174.0,1506112280.0,631.0,5.0,4.0
318,69,3,891,1,1507612925.0,1507613443.0,1507616253.0,1042.0,5.0,5.0
319,51,4,393,1,1511331844.0,1511331937.0,1511334665.0,1018.0,5.0,5.0
320,46,3,910,1,1514122230.0,1514122946.0,1514126097.0,1428.0,5.0,5.0
321,6,3,193,1,1511991832.0,1511992215.0,1511994803.0,976.0,5.0,5.0
322,7,5,739,1,1512301101.0,1512301645.0,1512302213.0,421.0,5.0,3.0
323,78,2,685,1,1502730286.0,1502730353.0,1502732416.0,1314.0,3.0,5.0
324,65,5,400,0,1514715159.0,1514715876.0,1514716397.0,403.0,4.0,5.0
325,2,5,143,1,1507990319.0,1507990883.0,1507992154.0,695.0,5.0,5.0
326,69,3,895,1,1503581096.0,1503581388.0,1503582455.0,616.0,5.0,5.0
327,29,3,605,0,1504696862.0,1504697446.0,1504698183.0,487.0,5.0,5.0
328,14,2,822,1,1500128067.0,1500128696.0,1500132085.0,1521.0,5.0,5.0
329,71,3,677,1,1514725140.0,1514725543.0,1514726952.0,749.0,5.0,5.0
330,78,2,59,1,1509494580.0,1509495374.0,1509497594.0,865.0,5.0,5.0
331,42,3,629,1,1514090920.0,1514091702.0,1514094863.0,1148.0,4.0,5.0
333,47,6,850,1,1512893134.0,1512893799.0,1512895609.0,905.0,5.0,5.0
334,4,3,115,1,1490698673.0,1490699452.0,1490700410.0,573.0,5.0,5.0
335,46,3,835,1,1513171063.0,1513171570.0,1513175004.0,1539.0,5.0,5.0
